31:17:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:18:-1:-1:-1:-1 31:19:-1:-1:-1:-1 31:37:-1:-1:-1:-1 31:27:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:47:-1:-1:-1:-1 31:48:-1:-1:-1:-1 31:49:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:16:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:24:-1:-1:-1 30:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:24:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:16:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:16:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 0:-1:-1:-1:-1:-1 1:-1:-1:-1:-1:-1 1:-1:-1:-1:-1:-1 2:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:24:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:17:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1
31:-1:-1:18:-1:-1 31:-1:-1:18:-1:-1 31:-1:-1:19:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 10:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 12:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:27:-1:-1 31:-1:-1:28:-1:-1 31:-1:-1:29:-1:-1
31:-1:-1:27:-1:-1 31:-1:-1:28:-1:-1 31:-1:-1:29:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 10:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 12:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 30:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:37:-1:-1 31:-1:-1:38:-1:-1 31:-1:-1:39:-1:-1
31:-1:-1:47:-1:-1 31:-1:-1:48:-1:-1 31:-1:-1:49:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 10:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 11:-1:-1:-1:-1:-1 12:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:47:-1:-1 31:-1:-1:48:-1:-1 31:-1:-1:49:-1:-1
31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:9:-1:-1:-1:-1 20:-1:-1:-1:-1:-1 21:-1:-1:-1:-1:-1 21:-1:-1:-1:-1:-1 22:-1:-1:-1:-1:-1 31:7:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1
31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:29:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:-1:-1:-1:-1:-1 31:27:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1 31:28:-1:-1:-1:-1
31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:39:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:8:-1:-1:-1:-1 31:37:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1 31:38:-1:-1:-1:-1
